 We force_max Ec El
11 20 8.393842771544294 70.0 3.5
12 20 8.896990394966288 80.0 4.0
13 20 9.33390585326788 90.0 4.5
14 20 9.772940346614265 100.0 5.0
15 20 13.228815465275025 200.0 10.0
16 20 15.826252239337878 300.0 15.0
17 20 17.917599380858533 400.0 20.0
18 20 19.745439586573024 500.0 25.0
19 20 21.401440834121757 600.0 30.0
20 20 22.90669491418293 700.0 35.0
21 20 24.150938084601155 800.0 40.0
22 20 25.436428518565336 900.0 45.0
23 20 26.85481201776772 1000.0 50.0
24 20 35.54141672870725 2000.0 100.0
25 20 41.97099778954988 3000.0 150.0
26 20 47.1643453860441 4000.0 200.0
27 20 55.66175303860866 6000.0 300.0
28 20 59.18896079046261 7000.0 350.0
29 20 62.44663221260994 8000.0 400.0
30 20 65.57321914128954 9000.0 450.0
0 30 3.1699285873280547 0.1 0.0033333333333333335
1 30 3.1834805556376646 0.5 0.016666666666666666
2 30 3.218715673242633 1.0 0.03333333333333333
3 30 3.380107295838778 5.0 0.16666666666666666
4 30 9.764562766204673 150.0 5.0
5 30 3.671351414783369 10.0 0.3333333333333333
6 30 4.338108255615834 20.0 0.6666666666666666
7 30 4.99032753044349 30.0 1.0
8 30 5.589817328575574 40.0 1.3333333333333333
9 30 6.110212911664279 50.0 1.6666666666666667
10 30 6.611142940272021 60.0 2.0
11 30 7.03347155268397 70.0 2.3333333333333335
12 30 7.46319214781029 80.0 2.6666666666666665
13 30 7.869011998826941 90.0 3.0
14 30 8.231711950676683 100.0 3.3333333333333335
15 30 11.092902059969624 200.0 6.666666666666667
16 30 13.257225318840344 300.0 10.0
17 30 15.012303774703454 400.0 13.333333333333334
18 30 16.593697740716518 500.0 16.666666666666668
19 30 17.89138987414776 600.0 20.0
20 30 19.215089466762304 700.0 23.333333333333332
21 30 20.36107840294167 800.0 26.666666666666668
22 30 21.331931556664816 900.0 30.0
23 30 22.337536885121985 1000.0 33.333333333333336
24 30 29.97448990660376 2000.0 66.66666666666667
25 30 35.60298208874066 3000.0 100.0
26 30 39.96036986727271 4000.0 133.33333333333334
27 30 43.80373641580974 5000.0 166.66666666666666
28 30 47.216575411107584 6000.0 200.0
29 30 50.30528853075289 7000.0 233.33333333333334
30 30 53.08520354370217 8000.0 266.6666666666667
31 30 55.57053597191384 9000.0 300.0
0 40 3.1672181936661388 0.1 0.0025
1 40 3.176827771194741 0.5 0.0125
2 40 3.178059768313832 1.0 0.025
3 40 3.291157103843034 5.0 0.125
4 40 8.616587850669406 150.0 3.75
5 40 3.488276642891821 10.0 0.25
6 40 3.966045125661275 20.0 0.5
7 40 4.477323930069025 30.0 0.75
8 40 4.997965912581632 40.0 1.0
9 40 5.436803286388932 50.0 1.25
10 40 5.848536723577048 60.0 1.5
11 40 6.22331024719351 70.0 1.75
12 40 6.597098173114753 80.0 2.0
13 40 6.903865455759401 90.0 2.25
14 40 7.26163741913291 100.0 2.5
15 40 9.744949372069344 200.0 5.0
16 40 11.681550283454028 300.0 7.5
17 40 13.220388604980604 400.0 10.0
18 40 14.61077127366111 500.0 12.5
19 40 15.845183107069277 600.0 15.0
20 40 16.944333976776417 700.0 17.5
21 40 17.945688915172983 800.0 20.0
22 40 19.024874039568715 900.0 22.5
23 40 19.794768751219976 1000.0 25.0
24 40 26.63343445544476 2000.0 50.0
25 40 31.59988834571517 3000.0 75.0
26 40 35.56354339696553 4000.0 100.0
27 40 38.908841846202506 5000.0 125.0
28 40 41.984532509899815 6000.0 150.0
29 40 44.68474001964007 7000.0 175.0
30 40 47.17266456979024 8000.0 200.0
31 40 49.510876830033006 9000.0 225.0
0 50 3.1595798115279976 0.1 0.002
1 50 3.159333412104152 0.5 0.01
2 50 3.1736245786852373 1.0 0.02
3 50 3.241630819657056 5.0 0.1
4 50 7.833037682950541 150.0 3.0
5 50 3.3855280831626384 10.0 0.2
6 50 3.746996037893349 20.0 0.4
7 50 4.152323090062387 30.0 0.6
