t pforce betaMax vBeta Hmax vH
8.90000e-01 2.50386e+00 1.56757e+00 7.23260e-01 1.18340e+00 -8.39112e-01
9.00000e-01 2.50036e+00 1.57481e+00 7.16869e-01 1.17502e+00 -8.36015e-01
9.10000e-01 2.45367e+00 1.58195e+00 7.10030e-01 1.16668e+00 -8.31794e-01
9.20000e-01 2.49380e+00 1.58902e+00 7.05086e-01 1.15838e+00 -8.28125e-01
9.30000e-01 2.43601e+00 1.59601e+00 6.90906e-01 1.15012e+00 -8.24436e-01
9.40000e-01 2.41639e+00 1.60294e+00 6.85619e-01 1.14189e+00 -8.21142e-01
9.50000e-01 2.39038e+00 1.60979e+00 6.80699e-01 1.13370e+00 -8.17869e-01
9.60000e-01 2.36707e+00 1.61655e+00 6.74140e-01 1.12553e+00 -8.14213e-01
9.70000e-01 2.34978e+00 1.62324e+00 6.70025e-01 1.11741e+00 -8.10467e-01
9.80000e-01 2.32169e+00 1.62987e+00 6.56153e-01 1.10932e+00 -8.07253e-01
9.90000e-01 2.29987e+00 1.63643e+00 6.48134e-01 1.10127e+00 -8.03735e-01

